source_url,target_url,status_code
https://blog.wulujia.com/,https://wlj.me/,301
https://blog.wulujia.com/archive,https://wlj.me/archives/,301
https://blog.wulujia.com/1-yue-yue-du,https://wlj.me/posts/january-reading/,301
https://blog.wulujia.com/1password,https://wlj.me/posts/1password/,301
https://blog.wulujia.com/2025-nian-11-yue-yue-du,https://wlj.me/posts/november-2025-reading/,301
https://blog.wulujia.com/2241270,https://wlj.me/posts/install-gemini-cli/,301
https://blog.wulujia.com/ai-da-cang-jing,https://wlj.me/posts/ai-tripitaka/,301
https://blog.wulujia.com/arch-shang-de-qi-ye-wei-xin,https://wlj.me/posts/wecom-on-arch-linux/,301
https://blog.wulujia.com/audiopen,https://wlj.me/posts/audiopen/,301
https://blog.wulujia.com/bai-nian-xiang-ce,https://wlj.me/posts/century-photo-album/,301
https://blog.wulujia.com/bosskol,https://wlj.me/posts/bosskol/,301
https://blog.wulujia.com/cao-liao-er-wei-ma-he-linktree,https://wlj.me/posts/caoliao-qrcode-and-linktree/,301
https://blog.wulujia.com/date-picker,https://wlj.me/posts/date-picker/,301
https://blog.wulujia.com/english-auto-complete-on-mac,https://wlj.me/posts/english-auto-complete-on-mac/,301
https://blog.wulujia.com/gong-zuo-an-shi,https://wlj.me/posts/work-hints/,301
https://blog.wulujia.com/gong-zuo-liu-zi-dong-hua-gong-ju,https://wlj.me/posts/workflow-automation-tools/,301
https://blog.wulujia.com/gumroad,https://wlj.me/posts/gumroad/,301
https://blog.wulujia.com/hao-kan-de-mono-zi-ti,https://wlj.me/posts/nice-mono-fonts/,301
https://blog.wulujia.com/have-i-been-pwned,https://wlj.me/posts/have-i-been-pwned/,301
https://blog.wulujia.com/ji-ge-bu-cuo-de-biao-dan-saas,https://wlj.me/posts/form-saas-tools/,301
https://blog.wulujia.com/jian-zhi-zhe-de-linkedin,https://wlj.me/posts/linkedin-for-freelancers/,301
https://blog.wulujia.com/latka,https://wlj.me/posts/latka/,301
https://blog.wulujia.com/liang-ju-hua,https://wlj.me/posts/two-sentences/,301
https://blog.wulujia.com/liao-jie-bu-fen-le-ling-chan-pin,https://wlj.me/posts/senior-care-products/,301
https://blog.wulujia.com/lingoace,https://wlj.me/posts/lingoace/,301
https://blog.wulujia.com/markmap,https://wlj.me/posts/markmap/,301
https://blog.wulujia.com/nus-emba-zhao-sheng-xin-xi,https://wlj.me/posts/nus-emba-admission-info/,301
https://blog.wulujia.com/open-science-framework,https://wlj.me/posts/open-science-framework/,301
https://blog.wulujia.com/pair-airpods-with-debian-linux,https://wlj.me/posts/pair-airpods-with-debian-linux/,301
https://blog.wulujia.com/shi-jian-yin-xing,https://wlj.me/posts/time-bank/,301
https://blog.wulujia.com/shi-yong-readwise,https://wlj.me/posts/trying-readwise/,301
https://blog.wulujia.com/skool,https://wlj.me/posts/skool/,301
https://blog.wulujia.com/talknotes,https://wlj.me/posts/talknotes/,301
https://blog.wulujia.com/teachable-xue-xi,https://wlj.me/posts/learning-teachable/,301
https://blog.wulujia.com/teng-xun-hui-yi-de-arch-ban-ben,https://wlj.me/posts/tencent-meeting-on-arch/,301
